Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,159.4,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
40.0,Secondary or below,Agricultural,Caste,Hindu,35.0,149.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
29.0,Secondary or below,Agricultural,Caste,Hindu,24.0,153.3,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
35.0,Secondary or below,Agricultural,Tribe,Hindu,26.0,161.7,Secondary or below,Agricultural,Tribe,Hindu,Rural,Tripura,1
28.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,22.0,159.8,Higher Secondary,Not working,Caste,Hindu,Rural,Bihar,1
42.0,Secondary or below,Agricultural,Tribe,Hindu,40.0,157.6,Secondary or below,Not working,Tribe,Hindu,Rural,Arunachal Pradesh,0
52.0,Secondary or below,Agricultural,Caste,Hindu,44.0,164.4,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Jharkhand,0
22.0,Secondary or below,Sales,Caste,Hindu,20.0,146.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
52.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,47.0,151.7,Secondary or below,Not working,Caste,Muslim,Urban,Karnataka,1
52.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45.0,142.7,Secondary or below,Not working,Caste,Hindu,Urban,Odisha,0
47.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,143.0,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
31.0,Secondary or below,Agricultural,Caste,Hindu,30.0,150.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,1
38.0,Secondary or below,Agricultural,Caste,Hindu,35.0,156.1,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,0
29.0,Higher Secondary,Agricultural,Caste,Hindu,24.0,168.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
32.0,Secondary or below,Agricultural,Caste,Hindu,28.0,148.7,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
44.0,Higher Secondary,Services / household and domestic,Caste,Hindu,38.0,152.4,Secondary or below,Not working,Caste,Muslim,Rural,Tamil Nadu,1
37.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,35.0,143.8,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
21.0,Higher Secondary,Professional / technical / managerial,Tribe,Christian,19.0,150.9,Secondary or below,Not working,Tribe,Christian,Rural,Mizoram,0
30.0,Secondary or below,Agricultural,Caste,Hindu,27.0,160.3,Secondary or below,Agricultural,Caste,Hindu,Urban,Rajasthan,1
32.0,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,30.0,146.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Nct Of Delhi,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,150.0,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,0
47.0,Secondary or below,Services / household and domestic,Caste,Hindu,42.0,143.4,Secondary or below,Not working,Caste,Hindu,Urban,Tamil Nadu,0
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,33.0,156.2,Secondary or below,Not working,Caste,Hindu,Urban,Rajasthan,0
35.0,Secondary or below,Clerical,Tribe,Hindu,30.0,151.3,Secondary or below,Not working,Tribe,Hindu,Rural,Assam,1
40.0,Secondary or below,Agricultural,Caste,Hindu,38.0,156.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
46.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,41.0,146.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,1
36.0,Secondary or below,Agricultural,Caste,Hindu,31.0,150.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
42.0,Secondary or below,Sales,Caste,Hindu,40.0,143.9,Secondary or below,Sales,Caste,Hindu,Urban,Uttar Pradesh,1
25.0,Higher Secondary,Agricultural,Caste,Hindu,20.0,145.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Karnataka,1
47.0,Secondary or below,Agricultural,No caste / tribe,Muslim,39.0,147.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,0
37.0,Secondary or below,Sales,Caste,Hindu,33.0,151.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Jharkhand,1
35.0,Secondary or below,Agricultural,No caste / tribe,Hindu,28.0,147.5,Secondary or below,Not working,Caste,Hindu,Rural,Arunachal Pradesh,0
45.0,Secondary or below,Sales,Caste,Hindu,40.0,157.2,Higher Secondary,Professional / technical / managerial,Caste,Hindu,Rural,Rajasthan,1
41.0,Secondary or below,Other,Tribe,Hindu,38.0,151.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Gujarat,1
33.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,22.0,152.6,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Arunachal Pradesh,1
40.0,Secondary or below,Other,Tribe,Hindu,39.0,153.6,Secondary or below,Not working,Tribe,Hindu,Rural,Gujarat,1
38.0,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Tribe,Other,31.0,152.1,Secondary or below,Not working,Tribe,Other,Rural,Arunachal Pradesh,0
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,155.8,Secondary or below,Not working,Caste,Hindu,Urban,Chhattisgarh,0
47.0,Secondary or below,Agricultural,Caste,Hindu,37.0,153.2,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,152.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Telangana,0
28.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,19.0,151.1,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
25.0,Secondary or below,Agricultural,Tribe,Hindu,21.0,144.1,Higher Secondary,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
36.0,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,33.0,155.5,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Buddhist / Neo-Buddhist,Rural,Himachal Pradesh,1
39.0,Secondary or below,Other,Caste,Hindu,32.0,149.5,Secondary or below,Agricultural,Tribe,Hindu,Rural,West Bengal,1
30.0,Graduate (B.Tech/B.Sc/BA),Sales,No caste / tribe,Hindu,18.0,155.6,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,143.8,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,1
30.0,Secondary or below,Sales,Caste,Hindu,27.0,148.2,Secondary or below,Sales,Caste,Hindu,Rural,Chhattisgarh,0
33.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,24.0,146.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
42.0,Secondary or below,Professional / technical / managerial,Caste,Hindu,39.0,154.9,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
37.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,36.0,159.1,Secondary or below,Agricultural,Tribe,Hindu,Rural,Rajasthan,0
44.0,Secondary or below,Agricultural,Caste,Hindu,36.0,135.8,Higher Secondary,Agricultural,Caste,Hindu,Rural,Tripura,1
31.0,Secondary or below,Agricultural,Caste,Hindu,29.0,149.0,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,1
23.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Christian,21.0,152.1,Higher Secondary,Not working,Caste,Christian,Rural,Andhra Pradesh,1
35.0,Higher Secondary,Services / household and domestic,Caste,Hindu,29.0,148.3,Secondary or below,Not working,Caste,Hindu,Urban,Odisha,0
41.0,Secondary or below,Other,Tribe,Hindu,42.0,153.8,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,Maharashtra,1
49.0,Higher Secondary,Agricultural,Tribe,Hindu,38.0,157.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,1
49.0,Secondary or below,Agricultural,Caste,Hindu,41.0,154.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
